kecamatan_id,kecamatan_nama,month_start,disease,cases,population,rainfall_mm,temp_mean_c,humidity_pct,rainfall_lag1,temp_lag1,humidity_lag1,rainfall_lag2,temp_lag2,humidity_lag2,rainfall_lag3,temp_lag3,humidity_lag3,rainfall_cumul_2m,cases_lag1,cases_lag2,cases_lag3,cases_ma_3m,cases_trend,temp_x_humidity,rain_x_humidity,month,month_sin,month_cos,is_pancaroba,cases_per_10k_lag1,kecamatan_encoded
33.74.01,Semarang Tengah,2025-04-01,ISPA,767,62540,134.2,27.5,79.4,154.7,27.1,82.8,153.7,26.4,83.9,287.0,26.2,86.4,308.4,792.0,902.0,959.0,884.3333333333334,-110.0,2243.88,12809.159999999998,4,0.8660254037844387,-0.4999999999999998,1,126.63895107131435,0
33.74.01,Semarang Tengah,2025-05-01,ISPA,635,62540,243.0,27.3,82.1,134.2,27.5,79.4,154.7,27.1,82.8,153.7,26.4,83.9,288.9,767.0,792.0,902.0,820.3333333333334,-25.0,2183.5,10655.48,5,0.49999999999999994,-0.8660254037844387,0,122.64150943396227,0
33.74.01,Semarang Tengah,2025-06-01,ISPA,963,62540,89.7,27.8,73.1,243.0,27.3,82.1,134.2,27.5,79.4,154.7,27.1,82.8,377.2,635.0,767.0,792.0,731.3333333333334,-132.0,2241.33,19950.3,6,1.2246467991473532e-16,-1.0,0,101.5350175887432,0
33.74.01,Semarang Tengah,2025-07-01,ISPA,768,62540,35.8,28.2,65.1,89.7,27.8,73.1,243.0,27.3,82.1,134.2,27.5,79.4,332.7,963.0,635.0,767.0,788.3333333333334,328.0,2032.1799999999998,6557.07,7,-0.4999999999999997,-0.8660254037844388,0,153.9814518708027,0
33.74.01,Semarang Tengah,2025-08-01,ISPA,877,62540,141.2,27.8,70.4,35.8,28.2,65.1,89.7,27.8,73.1,243.0,27.3,82.1,125.5,768.0,963.0,635.0,788.6666666666666,-195.0,1835.8199999999997,2330.5799999999995,8,-0.8660254037844385,-0.5000000000000004,0,122.80140709945636,0
33.74.01,Semarang Tengah,2025-09-01,ISPA,810,62540,112.9,28.4,68.7,141.2,27.8,70.4,35.8,28.2,65.1,89.7,27.8,73.1,177.0,877.0,768.0,963.0,869.3333333333334,109.0,1957.1200000000001,9940.48,9,-1.0,-1.8369701987210297e-16,0,140.23025263831147,0
33.74.01,Semarang Tengah,2025-10-01,ISPA,986,62540,263.5,28.2,74.2,112.9,28.4,68.7,141.2,27.8,70.4,35.8,28.2,65.1,254.1,810.0,877.0,768.0,818.3333333333334,-67.0,1951.08,7756.2300000000005,10,-0.8660254037844386,0.5000000000000001,1,129.51710905020786,0
33.74.01,Semarang Tengah,2025-11-01,ISPA,1070,62540,173.1,27.3,80.1,263.5,28.2,74.2,112.9,28.4,68.7,141.2,27.8,70.4,376.4,986.0,810.0,877.0,891.0,176.0,2092.44,19551.7,11,-0.5000000000000004,0.8660254037844384,1,157.6590981771666,0
33.74.01,Semarang Tengah,2025-12-01,ISPA,874,62540,176.6,27.0,82.8,173.1,27.3,80.1,263.5,28.2,74.2,112.9,28.4,68.7,436.6,1070.0,986.0,810.0,955.3333333333334,84.0,2186.73,13865.309999999998,12,-2.4492935982947064e-16,1.0,0,171.09050207866963,0
33.74.02,Semarang Utara,2025-04-01,ISPA,2884,128450,134.2,27.7,79.4,154.7,27.3,82.9,153.7,26.6,83.9,287.0,26.5,86.4,308.4,2249.0,2224.0,1811.0,2094.6666666666665,25.0,2263.17,12824.63,4,0.8660254037844387,-0.4999999999999998,1,175.0875827170105,1
