kecamatan_id,kecamatan_nama,month_start,disease,cases,population,rainfall_mm,temp_mean_c,humidity_pct
33.74.01,Semarang Tengah,2021-01-01,DBD,0,62540,292.4,25.7,87.8
33.74.01,Semarang Tengah,2021-02-01,DBD,0,62540,364.0,25.6,87.4
33.74.01,Semarang Tengah,2021-03-01,DBD,1,62540,157.0,26.3,86.2
33.74.01,Semarang Tengah,2021-04-01,DBD,0,62540,84.2,26.9,81.2
33.74.01,Semarang Tengah,2021-05-01,DBD,0,62540,153.2,27.8,76.7
33.74.01,Semarang Tengah,2021-06-01,DBD,0,62540,111.9,27.0,80.2
33.74.01,Semarang Tengah,2021-07-01,DBD,0,62540,9.9,28.2,62.9
33.74.01,Semarang Tengah,2021-08-01,DBD,1,62540,64.2,28.5,64.4
33.74.01,Semarang Tengah,2021-09-01,DBD,1,62540,59.2,28.4,67.2
33.74.01,Semarang Tengah,2021-10-01,DBD,0,62540,121.2,28.2,71.6
33.74.01,Semarang Tengah,2021-11-01,DBD,1,62540,246.4,26.4,85.5
33.74.01,Semarang Tengah,2021-12-01,DBD,1,62540,302.2,26.3,86.6
33.74.01,Semarang Tengah,2022-01-01,DBD,5,62540,241.8,26.0,84.8
33.74.01,Semarang Tengah,2022-02-01,DBD,1,62540,236.4,26.1,84.4
33.74.01,Semarang Tengah,2022-03-01,DBD,2,62540,248.5,26.4,86.0
33.74.01,Semarang Tengah,2022-04-01,DBD,3,62540,118.1,26.8,81.9
33.74.01,Semarang Tengah,2022-05-01,DBD,2,62540,173.1,27.0,82.4
33.74.01,Semarang Tengah,2022-06-01,DBD,0,62540,182.7,26.4,80.6
33.74.01,Semarang Tengah,2022-07-01,DBD,0,62540,74.2,27.3,71.4
33.74.01,Semarang Tengah,2022-08-01,DBD,1,62540,45.7,27.9,67.6
33.74.01,Semarang Tengah,2022-09-01,DBD,0,62540,76.1,28.1,69.2
33.74.01,Semarang Tengah,2022-10-01,DBD,1,62540,202.5,26.4,83.2
33.74.01,Semarang Tengah,2022-11-01,DBD,0,62540,353.6,26.3,85.1
33.74.01,Semarang Tengah,2022-12-01,DBD,2,62540,215.8,26.2,83.9
33.74.01,Semarang Tengah,2023-01-01,DBD,0,62540,214.0,25.9,85.7
33.74.01,Semarang Tengah,2023-02-01,DBD,1,62540,302.2,25.8,85.8
33.74.01,Semarang Tengah,2023-03-01,DBD,0,62540,295.7,26.2,85.0
33.74.01,Semarang Tengah,2023-04-01,DBD,1,62540,178.0,26.7,83.3
33.74.01,Semarang Tengah,2023-05-01,DBD,1,62540,66.1,27.6,74.2
33.74.01,Semarang Tengah,2023-06-01,DBD,1,62540,47.5,28.2,70.3
33.74.01,Semarang Tengah,2023-07-01,DBD,0,62540,18.5,28.1,63.4
33.74.01,Semarang Tengah,2023-08-01,DBD,1,62540,1.8,28.3,60.9
33.74.01,Semarang Tengah,2023-09-01,DBD,0,62540,14.0,28.8,56.9
33.74.01,Semarang Tengah,2023-10-01,DBD,0,62540,25.3,29.6,62.8
33.74.01,Semarang Tengah,2023-11-01,DBD,0,62540,110.9,28.3,77.4
33.74.01,Semarang Tengah,2023-12-01,DBD,0,62540,111.1,27.9,77.6
33.74.01,Semarang Tengah,2024-01-01,DBD,1,62540,274.1,26.8,86.0
33.74.01,Semarang Tengah,2024-02-01,DBD,2,62540,247.6,27.0,85.4
33.74.01,Semarang Tengah,2024-03-01,DBD,0,62540,217.4,27.2,83.7
33.74.01,Semarang Tengah,2024-04-01,DBD,0,62540,194.5,27.8,82.9
33.74.01,Semarang Tengah,2024-05-01,DBD,1,62540,29.3,29.7,66.4
33.74.01,Semarang Tengah,2024-06-01,DBD,2,62540,69.8,28.4,71.5
33.74.01,Semarang Tengah,2024-07-01,DBD,0,62540,36.5,28.0,64.9
33.74.01,Semarang Tengah,2024-08-01,DBD,1,62540,14.0,28.4,61.9
33.74.01,Semarang Tengah,2024-09-01,DBD,0,62540,79.3,28.5,66.3
33.74.01,Semarang Tengah,2024-10-01,DBD,0,62540,59.0,29.3,65.5
33.74.01,Semarang Tengah,2024-11-01,DBD,0,62540,287.1,27.6,81.4
33.74.01,Semarang Tengah,2024-12-01,DBD,0,62540,302.6,26.8,86.6
33.74.01,Semarang Tengah,2025-01-01,DBD,1,62540,287.0,26.2,86.4
33.74.01,Semarang Tengah,2025-02-01,DBD,2,62540,153.7,26.4,83.9
33.74.01,Semarang Tengah,2025-03-01,DBD,2,62540,154.7,27.1,82.8
33.74.01,Semarang Tengah,2025-04-01,DBD,1,62540,134.2,27.5,79.4
33.74.01,Semarang Tengah,2025-05-01,DBD,0,62540,243.0,27.3,82.1
33.74.01,Semarang Tengah,2025-06-01,DBD,0,62540,89.7,27.8,73.1
33.74.01,Semarang Tengah,2025-07-01,DBD,1,62540,35.8,28.2,65.1
33.74.01,Semarang Tengah,2025-08-01,DBD,0,62540,141.2,27.8,70.4
33.74.01,Semarang Tengah,2025-09-01,DBD,0,62540,112.9,28.4,68.7
33.74.01,Semarang Tengah,2025-10-01,DBD,0,62540,263.5,28.2,74.2
33.74.01,Semarang Tengah,2025-11-01,DBD,0,62540,173.1,27.3,80.1
33.74.01,Semarang Tengah,2025-12-01,DBD,0,62540,176.6,27.0,82.8
33.74.02,Semarang Utara,2021-01-01,DBD,1,128450,292.4,25.9,87.9
33.74.02,Semarang Utara,2021-02-01,DBD,0,128450,364.0,25.8,87.5
33.74.02,Semarang Utara,2021-03-01,DBD,0,128450,157.0,26.5,86.2
33.74.02,Semarang Utara,2021-04-01,DBD,0,128450,84.2,27.2,81.2
33.74.02,Semarang Utara,2021-05-01,DBD,1,128450,153.2,28.0,76.8
33.74.02,Semarang Utara,2021-06-01,DBD,0,128450,111.9,27.2,80.2
33.74.02,Semarang Utara,2021-07-01,DBD,0,128450,9.9,28.5,62.9
33.74.02,Semarang Utara,2021-08-01,DBD,0,128450,64.2,28.7,64.5
33.74.02,Semarang Utara,2021-09-01,DBD,0,128450,59.2,28.6,67.3
33.74.02,Semarang Utara,2021-10-01,DBD,0,128450,121.2,28.4,71.6
33.74.02,Semarang Utara,2021-11-01,DBD,0,128450,246.4,26.6,85.5
33.74.02,Semarang Utara,2021-12-01,DBD,1,128450,302.2,26.5,86.6
