kecamatan_id,kecamatan_nama,month_start,disease,cases,population,rainfall_mm,temp_mean_c,humidity_pct
33.74.01,Semarang Tengah,2025-01-01,ISPA,959,62540,287.0,26.2,86.4
33.74.01,Semarang Tengah,2025-02-01,ISPA,902,62540,153.7,26.4,83.9
33.74.01,Semarang Tengah,2025-03-01,ISPA,792,62540,154.7,27.1,82.8
33.74.01,Semarang Tengah,2025-04-01,ISPA,767,62540,134.2,27.5,79.4
33.74.01,Semarang Tengah,2025-05-01,ISPA,635,62540,243.0,27.3,82.1
33.74.01,Semarang Tengah,2025-06-01,ISPA,963,62540,89.7,27.8,73.1
33.74.01,Semarang Tengah,2025-07-01,ISPA,768,62540,35.8,28.2,65.1
33.74.01,Semarang Tengah,2025-08-01,ISPA,877,62540,141.2,27.8,70.4
33.74.01,Semarang Tengah,2025-09-01,ISPA,810,62540,112.9,28.4,68.7
33.74.01,Semarang Tengah,2025-10-01,ISPA,986,62540,263.5,28.2,74.2
33.74.01,Semarang Tengah,2025-11-01,ISPA,1070,62540,173.1,27.3,80.1
33.74.01,Semarang Tengah,2025-12-01,ISPA,874,62540,176.6,27.0,82.8
33.74.02,Semarang Utara,2025-01-01,ISPA,1811,128450,287.0,26.5,86.4
33.74.02,Semarang Utara,2025-02-01,ISPA,2224,128450,153.7,26.6,83.9
33.74.02,Semarang Utara,2025-03-01,ISPA,2249,128450,154.7,27.3,82.9
33.74.02,Semarang Utara,2025-04-01,ISPA,2884,128450,134.2,27.7,79.4
33.74.02,Semarang Utara,2025-05-01,ISPA,2444,128450,243.0,27.5,82.1
33.74.02,Semarang Utara,2025-06-01,ISPA,2312,128450,89.7,28.0,73.1
33.74.02,Semarang Utara,2025-07-01,ISPA,2508,128450,35.8,28.4,65.2
33.74.02,Semarang Utara,2025-08-01,ISPA,2635,128450,141.2,28.0,70.4
33.74.02,Semarang Utara,2025-09-01,ISPA,3021,128450,112.9,28.6,68.8
33.74.02,Semarang Utara,2025-10-01,ISPA,2842,128450,263.5,28.5,74.2
33.74.02,Semarang Utara,2025-11-01,ISPA,3555,128450,173.1,27.6,80.1
33.74.02,Semarang Utara,2025-12-01,ISPA,2068,128450,176.6,27.2,82.8
33.74.03,Semarang Timur,2025-01-01,ISPA,1563,72130,287.0,26.2,86.4
33.74.03,Semarang Timur,2025-02-01,ISPA,1423,72130,153.7,26.4,83.9
33.74.03,Semarang Timur,2025-03-01,ISPA,1377,72130,154.7,27.1,82.8
33.74.03,Semarang Timur,2025-04-01,ISPA,1299,72130,134.2,27.5,79.4
33.74.03,Semarang Timur,2025-05-01,ISPA,1413,72130,243.0,27.3,82.1
33.74.03,Semarang Timur,2025-06-01,ISPA,1094,72130,89.7,27.8,73.1
33.74.03,Semarang Timur,2025-07-01,ISPA,1043,72130,35.8,28.2,65.1
33.74.03,Semarang Timur,2025-08-01,ISPA,1192,72130,141.2,27.8,70.4
33.74.03,Semarang Timur,2025-09-01,ISPA,1242,72130,112.9,28.4,68.7
33.74.03,Semarang Timur,2025-10-01,ISPA,1134,72130,263.5,28.2,74.2
33.74.03,Semarang Timur,2025-11-01,ISPA,1173,72130,173.1,27.3,80.1
33.74.03,Semarang Timur,2025-12-01,ISPA,1338,72130,176.6,27.0,82.8
33.74.04,Semarang Selatan,2025-01-01,ISPA,443,70890,287.0,26.2,86.4
33.74.04,Semarang Selatan,2025-02-01,ISPA,150,70890,153.7,26.4,83.9
33.74.04,Semarang Selatan,2025-03-01,ISPA,1567,70890,154.7,27.1,82.8
33.74.04,Semarang Selatan,2025-04-01,ISPA,1294,70890,134.2,27.5,79.4
33.74.04,Semarang Selatan,2025-05-01,ISPA,1294,70890,243.0,27.3,82.1
33.74.04,Semarang Selatan,2025-06-01,ISPA,1378,70890,89.7,27.8,73.1
33.74.04,Semarang Selatan,2025-07-01,ISPA,1547,70890,35.8,28.2,65.1
33.74.04,Semarang Selatan,2025-08-01,ISPA,1774,70890,141.2,27.8,70.4
33.74.04,Semarang Selatan,2025-09-01,ISPA,1879,70890,112.9,28.4,68.7
33.74.04,Semarang Selatan,2025-10-01,ISPA,1709,70890,263.5,28.2,74.2
33.74.04,Semarang Selatan,2025-11-01,ISPA,2038,70890,173.1,27.3,80.1
33.74.04,Semarang Selatan,2025-12-01,ISPA,1522,70890,176.6,27.0,82.8
33.74.05,Semarang Barat,2025-01-01,ISPA,2904,158726,287.0,26.5,86.4
33.74.05,Semarang Barat,2025-02-01,ISPA,3007,158726,153.7,26.6,83.9
33.74.05,Semarang Barat,2025-03-01,ISPA,2747,158726,154.7,27.3,82.9
33.74.05,Semarang Barat,2025-04-01,ISPA,2188,158726,134.2,27.7,79.4
33.74.05,Semarang Barat,2025-05-01,ISPA,2432,158726,243.0,27.5,82.1
33.74.05,Semarang Barat,2025-06-01,ISPA,2867,158726,89.7,28.0,73.1
33.74.05,Semarang Barat,2025-07-01,ISPA,2761,158726,35.8,28.4,65.2
33.74.05,Semarang Barat,2025-08-01,ISPA,3371,158726,141.2,28.0,70.4
33.74.05,Semarang Barat,2025-09-01,ISPA,3350,158726,112.9,28.6,68.8
