kecamatan_id,kecamatan_nama,week_start,disease,cases,population,rainfall_mm,temp_mean_c,humidity_pct
33.74.01,Semarang Tengah,2025-01-06,ISPA,240,62540,57.0,26.6,84.7
33.74.02,Semarang Utara,2025-01-06,ISPA,453,128450,57.0,26.8,84.7
33.74.03,Semarang Timur,2025-01-06,ISPA,391,72130,57.0,26.6,84.7
33.74.04,Semarang Selatan,2025-01-06,ISPA,111,70890,57.0,26.6,84.7
33.74.05,Semarang Barat,2025-01-06,ISPA,726,158726,57.0,26.8,84.7
33.74.06,Gayamsari,2025-01-06,ISPA,294,68900,57.0,26.6,84.7
33.74.07,Candisari,2025-01-06,ISPA,363,78420,57.0,26.6,84.7
33.74.08,Gajahmungkur,2025-01-06,ISPA,0,58310,57.0,26.6,84.7
33.74.09,Genuk,2025-01-06,ISPA,290,112400,47.1,26.9,82.0
33.74.10,Pedurungan,2025-01-06,ISPA,1310,192500,47.1,27.1,82.0
33.74.11,Tembalang,2025-01-06,ISPA,528,185400,77.7,25.7,86.4
33.74.12,Banyumanik,2025-01-06,ISPA,650,142100,77.7,25.7,86.4
33.74.13,Gunungpati,2025-01-06,ISPA,224,98200,111.0,24.6,87.9
33.74.14,Mijen,2025-01-06,ISPA,444,78900,122.0,25.2,88.3
33.74.15,Ngaliyan,2025-01-06,ISPA,378,145800,65.2,26.2,84.7
33.74.16,Tugu,2025-01-06,ISPA,440,32100,65.2,26.9,84.9
33.74.01,Semarang Tengah,2025-01-13,ISPA,240,62540,54.5,26.6,85.7
33.74.02,Semarang Utara,2025-01-13,ISPA,453,128450,54.5,26.8,85.7
33.74.03,Semarang Timur,2025-01-13,ISPA,391,72130,54.5,26.6,85.7
33.74.04,Semarang Selatan,2025-01-13,ISPA,111,70890,54.5,26.6,85.7
33.74.05,Semarang Barat,2025-01-13,ISPA,726,158726,54.5,26.8,85.7
33.74.06,Gayamsari,2025-01-13,ISPA,294,68900,54.5,26.6,85.7
33.74.07,Candisari,2025-01-13,ISPA,363,78420,54.5,26.6,85.7
33.74.08,Gajahmungkur,2025-01-13,ISPA,0,58310,54.5,26.6,85.7
33.74.09,Genuk,2025-01-13,ISPA,290,112400,24.2,27.1,82.3
33.74.10,Pedurungan,2025-01-13,ISPA,1310,192500,24.2,27.2,82.3
33.74.11,Tembalang,2025-01-13,ISPA,528,185400,91.4,25.6,88.0
33.74.12,Banyumanik,2025-01-13,ISPA,650,142100,91.4,25.6,88.0
33.74.13,Gunungpati,2025-01-13,ISPA,224,98200,141.4,24.5,88.3
33.74.14,Mijen,2025-01-13,ISPA,444,78900,129.0,24.9,89.7
33.74.15,Ngaliyan,2025-01-13,ISPA,378,145800,92.6,26.1,86.4
33.74.16,Tugu,2025-01-13,ISPA,440,32100,92.6,26.8,86.7
33.74.01,Semarang Tengah,2025-01-20,ISPA,240,62540,68.4,26.2,87.9
33.74.02,Semarang Utara,2025-01-20,ISPA,453,128450,68.4,26.5,87.9
33.74.03,Semarang Timur,2025-01-20,ISPA,391,72130,68.4,26.2,87.9
33.74.04,Semarang Selatan,2025-01-20,ISPA,111,70890,68.4,26.2,87.9
33.74.05,Semarang Barat,2025-01-20,ISPA,726,158726,68.4,26.5,87.9
33.74.06,Gayamsari,2025-01-20,ISPA,294,68900,68.4,26.2,87.9
33.74.07,Candisari,2025-01-20,ISPA,363,78420,68.4,26.2,87.9
33.74.08,Gajahmungkur,2025-01-20,ISPA,0,58310,68.4,26.2,87.9
33.74.09,Genuk,2025-01-20,ISPA,290,112400,72.8,26.4,86.7
33.74.10,Pedurungan,2025-01-20,ISPA,1310,192500,72.8,26.6,86.7
33.74.11,Tembalang,2025-01-20,ISPA,528,185400,85.2,25.4,88.7
33.74.12,Banyumanik,2025-01-20,ISPA,650,142100,85.2,25.4,88.7
33.74.13,Gunungpati,2025-01-20,ISPA,224,98200,149.8,24.3,90.6
33.74.14,Mijen,2025-01-20,ISPA,444,78900,148.8,24.8,91.1
33.74.15,Ngaliyan,2025-01-20,ISPA,378,145800,78.4,25.8,88.6
33.74.16,Tugu,2025-01-20,ISPA,440,32100,78.4,26.5,88.6
33.74.01,Semarang Tengah,2025-01-27,ISPA,240,62540,83.1,25.7,86.0
33.74.02,Semarang Utara,2025-01-27,ISPA,453,128450,83.1,25.9,86.0
33.74.03,Semarang Timur,2025-01-27,ISPA,391,72130,83.1,25.7,86.0
33.74.04,Semarang Selatan,2025-01-27,ISPA,111,70890,83.1,25.7,86.0
33.74.05,Semarang Barat,2025-01-27,ISPA,726,158726,83.1,25.9,86.0
33.74.06,Gayamsari,2025-01-27,ISPA,294,68900,83.1,25.7,86.0
33.74.07,Candisari,2025-01-27,ISPA,363,78420,83.1,25.7,86.0
33.74.08,Gajahmungkur,2025-01-27,ISPA,0,58310,83.1,25.7,86.0
33.74.09,Genuk,2025-01-27,ISPA,290,112400,75.2,25.9,85.6
33.74.10,Pedurungan,2025-01-27,ISPA,1310,192500,75.2,26.0,85.7
33.74.11,Tembalang,2025-01-27,ISPA,528,185400,68.5,24.9,87.0
33.74.12,Banyumanik,2025-01-27,ISPA,650,142100,68.5,24.9,87.0
33.74.13,Gunungpati,2025-01-27,ISPA,224,98200,113.9,23.6,90.9
33.74.14,Mijen,2025-01-27,ISPA,444,78900,102.2,24.1,93.1
33.74.15,Ngaliyan,2025-01-27,ISPA,378,145800,102.1,25.2,87.7
33.74.16,Tugu,2025-01-27,ISPA,440,32100,102.1,25.9,87.9
33.74.01,Semarang Tengah,2025-02-03,ISPA,226,62540,24.4,26.6,81.7
33.74.02,Semarang Utara,2025-02-03,ISPA,556,128450,24.4,26.8,81.7
33.74.03,Semarang Timur,2025-02-03,ISPA,356,72130,24.4,26.6,81.7
33.74.04,Semarang Selatan,2025-02-03,ISPA,38,70890,24.4,26.6,81.7
33.74.05,Semarang Barat,2025-02-03,ISPA,752,158726,24.4,26.8,81.7
33.74.06,Gayamsari,2025-02-03,ISPA,334,68900,24.4,26.6,81.7
33.74.07,Candisari,2025-02-03,ISPA,398,78420,24.4,26.6,81.7
33.74.08,Gajahmungkur,2025-02-03,ISPA,0,58310,24.4,26.6,81.7
33.74.09,Genuk,2025-02-03,ISPA,359,112400,22.7,26.9,80.6
