kecamatan_id,kecamatan_nama,date,rainfall_mm,temp_mean_c,humidity_pct
33.74.01,Semarang Tengah,2021-01-01,15.6,25.3,91
33.74.01,Semarang Tengah,2021-01-02,5.1,25.9,88
33.74.01,Semarang Tengah,2021-01-03,3.4,25.9,90
33.74.01,Semarang Tengah,2021-01-04,0.2,26.1,86
33.74.01,Semarang Tengah,2021-01-05,8.5,25.9,87
33.74.01,Semarang Tengah,2021-01-06,9.9,26.3,86
33.74.01,Semarang Tengah,2021-01-07,21.0,26.2,86
33.74.01,Semarang Tengah,2021-01-08,10.6,26.3,84
33.74.01,Semarang Tengah,2021-01-09,8.7,25.8,92
33.74.01,Semarang Tengah,2021-01-10,15.5,25.2,92
33.74.01,Semarang Tengah,2021-01-11,7.0,26.0,88
33.74.01,Semarang Tengah,2021-01-12,8.5,26.4,88
33.74.01,Semarang Tengah,2021-01-13,5.6,26.4,87
33.74.01,Semarang Tengah,2021-01-14,4.5,25.5,89
33.74.01,Semarang Tengah,2021-01-15,2.4,26.0,84
33.74.01,Semarang Tengah,2021-01-16,8.0,26.0,87
33.74.01,Semarang Tengah,2021-01-17,17.9,25.8,89
33.74.01,Semarang Tengah,2021-01-18,32.6,24.6,92
33.74.01,Semarang Tengah,2021-01-19,7.9,24.9,88
33.74.01,Semarang Tengah,2021-01-20,2.1,26.0,84
33.74.01,Semarang Tengah,2021-01-21,7.9,26.0,85
33.74.01,Semarang Tengah,2021-01-22,3.1,25.9,87
33.74.01,Semarang Tengah,2021-01-23,1.8,26.3,85
33.74.01,Semarang Tengah,2021-01-24,18.0,25.1,91
33.74.01,Semarang Tengah,2021-01-25,6.4,25.8,86
33.74.01,Semarang Tengah,2021-01-26,3.8,25.7,90
33.74.01,Semarang Tengah,2021-01-27,8.5,25.2,91
33.74.01,Semarang Tengah,2021-01-28,9.3,25.5,86
33.74.01,Semarang Tengah,2021-01-29,13.9,25.0,88
33.74.01,Semarang Tengah,2021-01-30,18.3,24.7,90
33.74.01,Semarang Tengah,2021-01-31,6.4,25.3,86
33.74.01,Semarang Tengah,2021-02-01,2.6,26.2,81
33.74.01,Semarang Tengah,2021-02-02,5.4,25.8,86
33.74.01,Semarang Tengah,2021-02-03,10.4,25.3,88
33.74.01,Semarang Tengah,2021-02-04,13.5,25.1,90
33.74.01,Semarang Tengah,2021-02-05,9.6,25.4,88
33.74.01,Semarang Tengah,2021-02-06,3.5,25.7,85
33.74.01,Semarang Tengah,2021-02-07,3.8,25.8,87
33.74.01,Semarang Tengah,2021-02-08,9.3,25.2,90
33.74.01,Semarang Tengah,2021-02-09,4.3,26.1,85
33.74.01,Semarang Tengah,2021-02-10,7.2,25.8,88
33.74.01,Semarang Tengah,2021-02-11,3.7,26.2,87
33.74.01,Semarang Tengah,2021-02-12,5.3,25.8,90
33.74.01,Semarang Tengah,2021-02-13,13.6,25.8,89
33.74.01,Semarang Tengah,2021-02-14,36.0,25.0,91
33.74.01,Semarang Tengah,2021-02-15,32.0,25.4,88
33.74.01,Semarang Tengah,2021-02-16,12.3,25.6,88
33.74.01,Semarang Tengah,2021-02-17,59.3,24.6,93
33.74.01,Semarang Tengah,2021-02-18,8.8,25.4,87
33.74.01,Semarang Tengah,2021-02-19,53.5,24.3,92
33.74.01,Semarang Tengah,2021-02-20,3.7,25.3,85
33.74.01,Semarang Tengah,2021-02-21,12.5,26.1,83
33.74.01,Semarang Tengah,2021-02-22,2.1,26.1,85
33.74.01,Semarang Tengah,2021-02-23,12.6,25.8,85
33.74.01,Semarang Tengah,2021-02-24,15.2,25.5,87
33.74.01,Semarang Tengah,2021-02-25,18.1,25.0,91
33.74.01,Semarang Tengah,2021-02-26,4.8,25.4,89
33.74.01,Semarang Tengah,2021-02-27,0.1,26.6,83
33.74.01,Semarang Tengah,2021-02-28,0.8,26.3,87
33.74.01,Semarang Tengah,2021-03-01,16.0,26.2,88
33.74.01,Semarang Tengah,2021-03-02,6.6,26.1,87
33.74.01,Semarang Tengah,2021-03-03,0.6,26.6,81
33.74.01,Semarang Tengah,2021-03-04,1.2,26.1,85
33.74.01,Semarang Tengah,2021-03-05,1.8,26.3,83
33.74.01,Semarang Tengah,2021-03-06,8.5,25.8,88
33.74.01,Semarang Tengah,2021-03-07,11.8,25.8,87
33.74.01,Semarang Tengah,2021-03-08,3.8,25.8,85
33.74.01,Semarang Tengah,2021-03-09,0.8,26.1,80
33.74.01,Semarang Tengah,2021-03-10,6.2,25.6,86
33.74.01,Semarang Tengah,2021-03-11,3.8,25.9,85
33.74.01,Semarang Tengah,2021-03-12,7.2,25.8,86
33.74.01,Semarang Tengah,2021-03-13,7.8,25.8,88
33.74.01,Semarang Tengah,2021-03-14,3.8,25.8,86
33.74.01,Semarang Tengah,2021-03-15,3.5,25.8,87
33.74.01,Semarang Tengah,2021-03-16,1.4,26.4,87
33.74.01,Semarang Tengah,2021-03-17,4.3,26.4,87
33.74.01,Semarang Tengah,2021-03-18,0.1,26.8,84
