kecamatan_id,kecamatan_nama,week_start,rainfall_mm,temp_mean_c,humidity_pct
33.74.01,Semarang Tengah,2020-12-28,24.1,25.7,89.7
33.74.01,Semarang Tengah,2021-01-04,74.4,26.0,87.6
33.74.01,Semarang Tengah,2021-01-11,53.9,26.0,87.4
33.74.01,Semarang Tengah,2021-01-18,73.4,25.5,87.4
33.74.01,Semarang Tengah,2021-01-25,66.6,25.3,88.1
33.74.01,Semarang Tengah,2021-02-01,48.8,25.6,86.4
33.74.01,Semarang Tengah,2021-02-08,79.4,25.7,88.6
33.74.01,Semarang Tengah,2021-02-15,182.1,25.2,88.0
33.74.01,Semarang Tengah,2021-02-22,53.7,25.8,86.7
33.74.01,Semarang Tengah,2021-03-01,46.5,26.1,85.6
33.74.01,Semarang Tengah,2021-03-08,33.4,25.8,85.1
33.74.01,Semarang Tengah,2021-03-15,26.9,26.5,86.4
33.74.01,Semarang Tengah,2021-03-22,40.7,26.4,87.6
33.74.01,Semarang Tengah,2021-03-29,17.1,26.9,84.4
33.74.01,Semarang Tengah,2021-04-05,40.0,26.9,84.0
33.74.01,Semarang Tengah,2021-04-12,20.1,26.7,84.6
33.74.01,Semarang Tengah,2021-04-19,7.7,27.0,76.9
33.74.01,Semarang Tengah,2021-04-26,13.2,27.5,77.6
33.74.01,Semarang Tengah,2021-05-03,21.2,27.5,78.4
33.74.01,Semarang Tengah,2021-05-10,1.7,28.6,70.4
33.74.01,Semarang Tengah,2021-05-17,17.1,27.8,76.9
33.74.01,Semarang Tengah,2021-05-24,107.4,27.5,79.7
33.74.01,Semarang Tengah,2021-05-31,7.1,27.9,77.9
33.74.01,Semarang Tengah,2021-06-07,15.0,27.6,77.7
33.74.01,Semarang Tengah,2021-06-14,51.0,26.2,83.6
33.74.01,Semarang Tengah,2021-06-21,21.6,26.6,82.6
33.74.01,Semarang Tengah,2021-06-28,18.8,27.1,75.7
33.74.01,Semarang Tengah,2021-07-05,6.3,27.8,65.1
33.74.01,Semarang Tengah,2021-07-12,0.5,28.6,58.7
33.74.01,Semarang Tengah,2021-07-19,0.7,29.0,62.0
33.74.01,Semarang Tengah,2021-07-26,4.5,28.1,61.0
33.74.01,Semarang Tengah,2021-08-02,17.1,28.6,65.7
33.74.01,Semarang Tengah,2021-08-09,27.1,28.6,64.1
33.74.01,Semarang Tengah,2021-08-16,14.0,28.1,67.7
33.74.01,Semarang Tengah,2021-08-23,1.3,28.6,59.4
33.74.01,Semarang Tengah,2021-08-30,3.3,28.9,60.0
33.74.01,Semarang Tengah,2021-09-06,15.2,28.6,64.9
33.74.01,Semarang Tengah,2021-09-13,9.8,28.3,69.6
33.74.01,Semarang Tengah,2021-09-20,31.2,28.0,71.1
33.74.01,Semarang Tengah,2021-09-27,3.3,28.2,71.1
33.74.01,Semarang Tengah,2021-10-04,2.1,28.5,62.0
33.74.01,Semarang Tengah,2021-10-11,3.5,29.5,62.4
33.74.01,Semarang Tengah,2021-10-18,47.0,27.4,79.7
33.74.01,Semarang Tengah,2021-10-25,67.4,27.2,82.1
33.74.01,Semarang Tengah,2021-11-01,32.0,26.9,82.9
33.74.01,Semarang Tengah,2021-11-08,75.4,26.3,87.1
33.74.01,Semarang Tengah,2021-11-15,37.2,26.3,85.9
33.74.01,Semarang Tengah,2021-11-22,95.0,26.1,87.3
33.74.01,Semarang Tengah,2021-11-29,44.0,26.5,83.4
33.74.01,Semarang Tengah,2021-12-06,50.9,26.2,86.7
33.74.01,Semarang Tengah,2021-12-13,58.3,26.5,87.4
33.74.01,Semarang Tengah,2021-12-20,63.3,26.2,86.7
