"Category","Penderita Perempuan","Penderita Laki-laki","Kasus Meninggal Laki - laki","Kasus Meninggal Perempuan"
"Bulusan",0,2,0,0
"Plamongan Sari",0,4,0,0
"Karanganyar",3,3,0,0
"Mangkang",0,2,0,0
"Ngaliyan",8,9,0,0
"Purwoyoso",3,1,0,0
"Tambakaji",6,9,1,0
"Karangmalang",1,2,0,0
"Mijen",6,14,0,0
"Sekaran",3,4,0,0
"Gunungpati",0,3,0,0
"Pudakpayung",0,6,0,0
"Srondol",6,7,0,0
"Padangsari",2,5,0,0
"Ngesrep",1,2,0,0
"Rowosari",7,2,0,0
"Kedungmundu",5,27,2,0
"Tlogosari Wetan",5,7,0,0
"Tlogosari Kulon",7,13,2,0
"Bangetayu",7,12,0,0
"Genuk",5,3,0,0
"Pegandan",6,6,0,0
"Kagok",1,3,0,0
"Candilama",3,9,0,0
"Gayamsari",7,8,0,0
"Ngemplak Simongan",0,1,0,0
"Krobokan",1,2,0,0
"Manyaran",3,4,0,0
"Lebdosari",2,7,0,0
"Karangayu",1,1,0,0
"Lamper Tengah",1,1,0,0
"Pandanaran",1,7,0,0
"Karangdoro",1,3,0,0
"Bugangan",1,0,0,0
"Halmahera",1,5,0,1
"Bulu Lor",3,3,0,0
"Bandarharjo",5,6,0,0
"Miroto",2,1,0,0
"Poncol",3,1,0,0
