Bulan,Puskesmas,Total Kasus ISPA
Januari,bandarharjo,714
Februari,bandarharjo,1101
Maret,bandarharjo,1233
April,bandarharjo,1071
Mei,bandarharjo,1110
Juni,bandarharjo,1142
Juli,bandarharjo,1272
Agustus,bandarharjo,1263
September,bandarharjo,1241
Oktober,bandarharjo,1443
November,bandarharjo,1731
Desember,bandarharjo,1250
Januari,bangetayu,631
Februari,bangetayu,907
Maret,bangetayu,812
April,bangetayu,631
Mei,bangetayu,646
Juni,bangetayu,613
Juli,bangetayu,482
Agustus,bangetayu,443
September,bangetayu,528
Oktober,bangetayu,389
November,bangetayu,372
Desember,bangetayu,656
Januari,bugangan,534
Februari,bugangan,608
Maret,bugangan,536
April,bugangan,443
Mei,bugangan,476
Juni,bugangan,422
Juli,bugangan,373
Agustus,bugangan,333
September,bugangan,407
Oktober,bugangan,292
November,bugangan,276
Desember,bugangan,540
Januari,bululor,1097
Februari,bululor,1123
Maret,bululor,1016
April,bululor,1813
Mei,bululor,1334
Juni,bululor,1170
Juli,bululor,1236
Agustus,bululor,1372
September,bululor,1780
Oktober,bululor,1399
November,bululor,1824
Desember,bululor,818
Januari,bulusan,108
Februari,bulusan,122
Maret,bulusan,151
April,bulusan,185
Mei,bulusan,0
Juni,bulusan,1239
Juli,bulusan,3199
Agustus,bulusan,866
September,bulusan,1462
Oktober,bulusan,1481
November,bulusan,407
Desember,bulusan,407
Januari,candilama,777
Februari,candilama,820
Maret,candilama,722
April,candilama,580
Mei,candilama,669
Juni,candilama,741
Juli,candilama,712
Agustus,candilama,907
September,candilama,951
Oktober,candilama,887
November,candilama,1039
Desember,candilama,774
Januari,gayamsari,1175
Februari,gayamsari,1335
Maret,gayamsari,913
April,gayamsari,924
Mei,gayamsari,955
Juni,gayamsari,1214
Juli,gayamsari,1341
Agustus,gayamsari,1529
September,gayamsari,612
Oktober,gayamsari,928
November,gayamsari,1104
Desember,gayamsari,1156
Januari,genuk,529
Februari,genuk,528
Maret,genuk,557
April,genuk,443
Mei,genuk,529
Juni,genuk,692
Juli,genuk,689
Agustus,genuk,839
September,genuk,907
Oktober,genuk,594
November,genuk,856
Desember,genuk,652
Januari,gunungpati,400
Februari,gunungpati,423
Maret,gunungpati,353
April,gunungpati,214
Mei,gunungpati,307
Juni,gunungpati,242
Juli,gunungpati,635
Agustus,gunungpati,655
September,gunungpati,811
Oktober,gunungpati,688
November,gunungpati,833
Desember,gunungpati,790
Januari,halmahera,798
Februari,halmahera,570
Maret,halmahera,631
April,halmahera,616
Mei,halmahera,662
Juni,halmahera,425
Juli,halmahera,408
Agustus,halmahera,584
September,halmahera,457
Oktober,halmahera,544
November,halmahera,528
Desember,halmahera,607
Januari,kagok,675
Februari,kagok,770
Maret,kagok,765
April,kagok,667
Mei,kagok,485
Juni,kagok,853
Juli,kagok,681
Agustus,kagok,680
September,kagok,605
Oktober,kagok,520
November,kagok,524
Desember,kagok,609
Januari,karanganyar,777
Februari,karanganyar,820
Maret,karanganyar,722
April,karanganyar,580
Mei,karanganyar,669
Juni,karanganyar,741
Juli,karanganyar,712
Agustus,karanganyar,907
September,karanganyar,951
Oktober,karanganyar,887
November,karanganyar,1039
Desember,karanganyar,774
Januari,karangayu,344
Februari,karangayu,353
Maret,karangayu,221
April,karangayu,221
Mei,karangayu,258
Juni,karangayu,327
Juli,karangayu,270
Agustus,karangayu,414
September,karangayu,338
Oktober,karangayu,379
November,karangayu,455
Desember,karangayu,447
Januari,karangdoro,231
Februari,karangdoro,245
Maret,karangdoro,210
April,karangdoro,240
Mei,karangdoro,275
Juni,karangdoro,247
Juli,karangdoro,262
Agustus,karangdoro,275
September,karangdoro,378
Oktober,karangdoro,298
November,karangdoro,369
Desember,karangdoro,191
Januari,karangmalang,499
