"Category","Penderita Laki-laki","Penderita Perempuan","Meninggal Laki-laki","Meninggal Perempuan"
"1",4,3,0,0
"2",3,0,0,0
"3",2,1,0,0
"4",3,3,0,0
"5",4,4,0,0
"6",5,6,0,0
"7",7,5,0,0
"8",8,6,0,0
"9",5,3,0,0
"10",1,4,0,0
"11",8,4,0,0
"12",7,5,1,0
"13",6,3,0,0
"14",6,1,0,0
"15",3,6,0,0
"16",4,3,0,0
"17",9,1,1,0
"18",11,2,0,0
"19",7,0,0,0
"20",9,6,1,0
"21",7,5,0,0
"22",9,1,0,0
"23",10,3,0,0
"24",11,0,1,0
"25",4,2,0,0
"26",0,2,0,0
"27",1,2,0,0
"28",1,2,0,0
"29",6,4,0,0
"30",4,1,0,0
"31",2,2,0,0
"32",1,1,0,0
"33",0,4,0,0
"34",2,3,0,0
"35",0,1,0,0
"36",5,2,0,1
"37",1,0,1,0
"38",1,0,0,0
"39",1,0,0,0
"40",1,6,0,0
"41",3,1,0,0
"42",1,1,0,0
"43",2,1,0,0
"44",2,1,0,0
"45",1,0,0,0
"46",4,0,0,0
"47",1,1,0,0
"48",1,1,0,0
"49",2,2,0,0
"50",0,1,0,0
"51",3,0,0,0
"52",3,0,0,0
"53",3,1,0,0
