kecamatan_id,kecamatan_nama,week_start,disease,cases
33.74.01,Semarang Tengah,2021-01-04,DBD,0
33.74.01,Semarang Tengah,2021-01-11,DBD,0
33.74.01,Semarang Tengah,2021-01-18,DBD,0
33.74.01,Semarang Tengah,2021-01-25,DBD,0
33.74.01,Semarang Tengah,2021-02-01,DBD,0
33.74.01,Semarang Tengah,2021-02-08,DBD,0
33.74.01,Semarang Tengah,2021-02-15,DBD,0
33.74.01,Semarang Tengah,2021-02-22,DBD,0
33.74.01,Semarang Tengah,2021-03-01,DBD,0
33.74.01,Semarang Tengah,2021-03-08,DBD,0
33.74.01,Semarang Tengah,2021-03-15,DBD,0
33.74.01,Semarang Tengah,2021-03-22,DBD,1
33.74.01,Semarang Tengah,2021-03-29,DBD,0
33.74.01,Semarang Tengah,2021-04-05,DBD,0
33.74.01,Semarang Tengah,2021-04-12,DBD,0
33.74.01,Semarang Tengah,2021-04-19,DBD,0
33.74.01,Semarang Tengah,2021-04-26,DBD,0
33.74.01,Semarang Tengah,2021-05-03,DBD,0
33.74.01,Semarang Tengah,2021-05-10,DBD,0
33.74.01,Semarang Tengah,2021-05-17,DBD,0
33.74.01,Semarang Tengah,2021-05-24,DBD,0
33.74.01,Semarang Tengah,2021-05-31,DBD,0
33.74.01,Semarang Tengah,2021-06-07,DBD,0
33.74.01,Semarang Tengah,2021-06-14,DBD,0
33.74.01,Semarang Tengah,2021-06-21,DBD,0
33.74.01,Semarang Tengah,2021-06-28,DBD,0
33.74.01,Semarang Tengah,2021-07-05,DBD,0
33.74.01,Semarang Tengah,2021-07-12,DBD,0
33.74.01,Semarang Tengah,2021-07-19,DBD,0
33.74.01,Semarang Tengah,2021-07-26,DBD,0
33.74.01,Semarang Tengah,2021-08-02,DBD,0
33.74.01,Semarang Tengah,2021-08-09,DBD,0
33.74.01,Semarang Tengah,2021-08-16,DBD,0
33.74.01,Semarang Tengah,2021-08-23,DBD,0
33.74.01,Semarang Tengah,2021-08-30,DBD,1
33.74.01,Semarang Tengah,2021-09-06,DBD,1
33.74.01,Semarang Tengah,2021-09-13,DBD,0
33.74.01,Semarang Tengah,2021-09-20,DBD,0
33.74.01,Semarang Tengah,2021-09-27,DBD,0
33.74.01,Semarang Tengah,2021-10-04,DBD,0
33.74.01,Semarang Tengah,2021-10-11,DBD,0
33.74.01,Semarang Tengah,2021-10-18,DBD,0
33.74.01,Semarang Tengah,2021-10-25,DBD,0
33.74.01,Semarang Tengah,2021-11-01,DBD,0
33.74.01,Semarang Tengah,2021-11-08,DBD,1
33.74.01,Semarang Tengah,2021-11-15,DBD,0
33.74.01,Semarang Tengah,2021-11-22,DBD,0
33.74.01,Semarang Tengah,2021-11-29,DBD,0
33.74.01,Semarang Tengah,2021-12-06,DBD,0
33.74.01,Semarang Tengah,2021-12-13,DBD,0
33.74.01,Semarang Tengah,2021-12-20,DBD,1
33.74.01,Semarang Tengah,2021-12-27,DBD,0
33.74.02,Semarang Utara,2021-01-04,DBD,1
33.74.02,Semarang Utara,2021-01-11,DBD,0
33.74.02,Semarang Utara,2021-01-18,DBD,0
33.74.02,Semarang Utara,2021-01-25,DBD,0
33.74.02,Semarang Utara,2021-02-01,DBD,0
33.74.02,Semarang Utara,2021-02-08,DBD,0
