kecamatan_id,kecamatan_nama,month_start,disease,cases
33.74.01,Semarang Tengah,2025-01-01,ISPA,959
33.74.01,Semarang Tengah,2025-02-01,ISPA,902
33.74.01,Semarang Tengah,2025-03-01,ISPA,792
33.74.01,Semarang Tengah,2025-04-01,ISPA,767
33.74.01,Semarang Tengah,2025-05-01,ISPA,635
33.74.01,Semarang Tengah,2025-06-01,ISPA,963
33.74.01,Semarang Tengah,2025-07-01,ISPA,768
33.74.01,Semarang Tengah,2025-08-01,ISPA,877
33.74.01,Semarang Tengah,2025-09-01,ISPA,810
33.74.01,Semarang Tengah,2025-10-01,ISPA,986
33.74.01,Semarang Tengah,2025-11-01,ISPA,1070
33.74.01,Semarang Tengah,2025-12-01,ISPA,874
33.74.02,Semarang Utara,2025-01-01,ISPA,1811
33.74.02,Semarang Utara,2025-02-01,ISPA,2224
33.74.02,Semarang Utara,2025-03-01,ISPA,2249
33.74.02,Semarang Utara,2025-04-01,ISPA,2884
33.74.02,Semarang Utara,2025-05-01,ISPA,2444
33.74.02,Semarang Utara,2025-06-01,ISPA,2312
33.74.02,Semarang Utara,2025-07-01,ISPA,2508
33.74.02,Semarang Utara,2025-08-01,ISPA,2635
33.74.02,Semarang Utara,2025-09-01,ISPA,3021
33.74.02,Semarang Utara,2025-10-01,ISPA,2842
33.74.02,Semarang Utara,2025-11-01,ISPA,3555
33.74.02,Semarang Utara,2025-12-01,ISPA,2068
33.74.03,Semarang Timur,2025-01-01,ISPA,1563
33.74.03,Semarang Timur,2025-02-01,ISPA,1423
33.74.03,Semarang Timur,2025-03-01,ISPA,1377
33.74.03,Semarang Timur,2025-04-01,ISPA,1299
33.74.03,Semarang Timur,2025-05-01,ISPA,1413
33.74.03,Semarang Timur,2025-06-01,ISPA,1094
33.74.03,Semarang Timur,2025-07-01,ISPA,1043
33.74.03,Semarang Timur,2025-08-01,ISPA,1192
33.74.03,Semarang Timur,2025-09-01,ISPA,1242
33.74.03,Semarang Timur,2025-10-01,ISPA,1134
33.74.03,Semarang Timur,2025-11-01,ISPA,1173
33.74.03,Semarang Timur,2025-12-01,ISPA,1338
33.74.04,Semarang Selatan,2025-01-01,ISPA,443
33.74.04,Semarang Selatan,2025-02-01,ISPA,150
33.74.04,Semarang Selatan,2025-03-01,ISPA,1567
33.74.04,Semarang Selatan,2025-04-01,ISPA,1294
33.74.04,Semarang Selatan,2025-05-01,ISPA,1294
33.74.04,Semarang Selatan,2025-06-01,ISPA,1378
33.74.04,Semarang Selatan,2025-07-01,ISPA,1547
33.74.04,Semarang Selatan,2025-08-01,ISPA,1774
33.74.04,Semarang Selatan,2025-09-01,ISPA,1879
33.74.04,Semarang Selatan,2025-10-01,ISPA,1709
33.74.04,Semarang Selatan,2025-11-01,ISPA,2038
33.74.04,Semarang Selatan,2025-12-01,ISPA,1522
33.74.05,Semarang Barat,2025-01-01,ISPA,2904
33.74.05,Semarang Barat,2025-02-01,ISPA,3007
33.74.05,Semarang Barat,2025-03-01,ISPA,2747
33.74.05,Semarang Barat,2025-04-01,ISPA,2188
33.74.05,Semarang Barat,2025-05-01,ISPA,2432
33.74.05,Semarang Barat,2025-06-01,ISPA,2867
33.74.05,Semarang Barat,2025-07-01,ISPA,2761
33.74.05,Semarang Barat,2025-08-01,ISPA,3371
33.74.05,Semarang Barat,2025-09-01,ISPA,3350
33.74.05,Semarang Barat,2025-10-01,ISPA,3534
33.74.05,Semarang Barat,2025-11-01,ISPA,4144
33.74.05,Semarang Barat,2025-12-01,ISPA,3452
33.74.06,Gayamsari,2025-01-01,ISPA,1175
33.74.06,Gayamsari,2025-02-01,ISPA,1335
33.74.06,Gayamsari,2025-03-01,ISPA,913
33.74.06,Gayamsari,2025-04-01,ISPA,924
33.74.06,Gayamsari,2025-05-01,ISPA,955
33.74.06,Gayamsari,2025-06-01,ISPA,1214
33.74.06,Gayamsari,2025-07-01,ISPA,1341
33.74.06,Gayamsari,2025-08-01,ISPA,1529
33.74.06,Gayamsari,2025-09-01,ISPA,612
33.74.06,Gayamsari,2025-10-01,ISPA,928
33.74.06,Gayamsari,2025-11-01,ISPA,1104
33.74.06,Gayamsari,2025-12-01,ISPA,1156
33.74.07,Candisari,2025-01-01,ISPA,1452
33.74.07,Candisari,2025-02-01,ISPA,1590
33.74.07,Candisari,2025-03-01,ISPA,1487
33.74.07,Candisari,2025-04-01,ISPA,1247
33.74.07,Candisari,2025-05-01,ISPA,1154
33.74.07,Candisari,2025-06-01,ISPA,1594
33.74.07,Candisari,2025-07-01,ISPA,1393
33.74.07,Candisari,2025-08-01,ISPA,1587
33.74.07,Candisari,2025-09-01,ISPA,1556
33.74.07,Candisari,2025-10-01,ISPA,1407
33.74.07,Candisari,2025-11-01,ISPA,1563
33.74.07,Candisari,2025-12-01,ISPA,1383
33.74.08,Gajahmungkur,2025-01-01,ISPA,0
33.74.08,Gajahmungkur,2025-02-01,ISPA,0
33.74.08,Gajahmungkur,2025-03-01,ISPA,513
33.74.08,Gajahmungkur,2025-04-01,ISPA,388
33.74.08,Gajahmungkur,2025-05-01,ISPA,376
33.74.08,Gajahmungkur,2025-06-01,ISPA,406
33.74.08,Gajahmungkur,2025-07-01,ISPA,589
33.74.08,Gajahmungkur,2025-08-01,ISPA,505
33.74.08,Gajahmungkur,2025-09-01,ISPA,1147
33.74.08,Gajahmungkur,2025-10-01,ISPA,538
33.74.08,Gajahmungkur,2025-11-01,ISPA,549
33.74.08,Gajahmungkur,2025-12-01,ISPA,473
33.74.09,Genuk,2025-01-01,ISPA,1160
