"Category";"Penderita Perempuan";"Penderita Laki-laki";"Kasus Meninggal Laki - laki";"Kasus Meninggal Perempuan"
"Bulusan";0;1;0;0
"Plamongan Sari";0;1;1;0
"Ngaliyan";0;2;1;0
"Purwoyoso";0;1;1;0
"Tambakaji";0;1;1;0
"Sekaran";0;1;0;0
"Gunungpati";0;1;0;0
"Padangsari";0;1;0;0
"Kedungmundu";0;1;1;0
"Tlogosari Wetan";1;2;2;0
"Tlogosari Kulon";1;3;0;0
"Kagok";0;1;0;0
"Candilama";1;2;1;0
"Gayamsari";0;2;0;0
"Ngemplak Simongan";1;2;1;0
"Krobokan";0;1;0;0
"Karangayu";1;0;0;0
"Lamper Tengah";0;1;0;0
"Pandanaran";0;1;1;0
"Karangdoro";0;1;0;0
"Bulu Lor";1;3;0;0
"Bandarharjo";0;2;0;0
"Miroto";0;1;0;0
