"Category","Penderita Perempuan","Penderita Laki-laki","Kasus Meninggal Laki - laki","Kasus Meninggal Perempuan"
"Ngaliyan",1,0,0,0
"Purwoyoso",2,1,0,0
"Mijen",0,1,0,0
"Sekaran",0,3,0,0
"Gunungpati",0,1,0,0
"Srondol",0,2,0,0
"Padangsari",1,0,0,0
"Ngesrep",4,0,0,0
"Rowosari",0,1,0,0
"Kedungmundu",5,5,0,0
"Tlogosari Wetan",1,1,0,0
"Tlogosari Kulon",0,1,0,0
"Genuk",1,0,0,0
"Pegandan",0,5,0,0
"Kagok",1,3,1,0
"Gayamsari",1,0,0,0
"Ngemplak Simongan",2,2,0,0
"Krobokan",1,1,1,0
"Manyaran",0,2,0,0
"Lebdosari",1,2,0,0
"Lamper Tengah",0,1,0,0
"Pandanaran",0,1,0,0
"Bugangan",2,2,1,0
"Halmahera",1,2,1,0
"Bulu Lor",3,1,1,0
"Bandarharjo",1,0,0,0
"Poncol",0,1,1,0
