kecamatan_id,kecamatan_nama,population,area_km2
33.74.01,Semarang Tengah,62540,6.14
33.74.02,Semarang Utara,128450,10.97
33.74.03,Semarang Timur,72130,7.70
33.74.04,Semarang Selatan,70890,5.93
33.74.05,Semarang Barat,158726,21.74
33.74.06,Gayamsari,68900,6.18
33.74.07,Candisari,78420,6.54
33.74.08,Gajahmungkur,58310,7.07
33.74.09,Genuk,112400,27.39
33.74.10,Pedurungan,192500,20.72
33.74.11,Tembalang,185400,44.20
33.74.12,Banyumanik,142100,25.69
33.74.13,Gunungpati,98200,54.11
33.74.14,Mijen,78900,57.55
33.74.15,Ngaliyan,145800,37.99
33.74.16,Tugu,32100,31.78
